parent_slug,parent_name,concept_slug,concept_name,book_count,confirmed_count,weak_count,conditional_count,weighted_coverage,coverage_status,sample_book_titles
market_foundations,Market Foundations,asset_classes_and_financial_instruments,Asset Classes and Financial Instruments,16,11,5,0,13.5,well_covered,All About Asset Allocation | Asset Allocation: Balancing Financial Risk | Common Sense on Mutual Funds
market_foundations,Market Foundations,market_participants_and_incentives,Market Participants and Incentives,9,4,5,0,6.5,well_covered,One Up On Wall Street | The Four Pillars of Investing | Trading and Exchanges
market_foundations,Market Foundations,exchanges_brokers_and_market_infrastructure,"Exchanges, Brokers, and Market Infrastructure",3,3,0,0,3.0,adequate,Algorithmic Trading & DMA | Market Microstructure in Practice | Trading and Exchanges
market_foundations,Market Foundations,order_types_and_execution_mechanics,Order Types and Execution Mechanics,4,3,1,0,3.5,adequate,Algorithmic Trading & DMA | Market Microstructure in Practice | Trading and Exchanges
market_foundations,Market Foundations,liquidity_and_market_depth,Liquidity and Market Depth,5,3,2,0,4.0,adequate,Algorithmic Trading & DMA | Market Microstructure in Practice | Trading and Exchanges
market_foundations,Market Foundations,price_formation_and_market_efficiency,Price Formation and Market Efficiency,19,10,9,0,14.5,well_covered,A Random Walk Down Wall Street | Investment Valuation | Market Microstructure in Practice
fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,financial_statement_analysis,Financial Statement Analysis,19,10,9,0,14.5,well_covered,Financial Shenanigans | Financial Statement Analysis and Security Valuation | International Financial Statement Analysis
fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,business_quality_and_competitive_advantage,Business Quality and Competitive Advantage,14,10,4,0,12.0,well_covered,Common Stocks and Uncommon Profits | One Up On Wall Street | Poor Charlie’s Almanack
fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,intrinsic_value_estimation,Intrinsic Value Estimation,17,12,5,0,14.5,well_covered,Equity Asset Valuation | Financial Statement Analysis and Security Valuation | Fixed Income Analysis
fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,valuation_multiples_and_relative_valuation,Valuation Multiples and Relative Valuation,13,10,3,0,11.5,well_covered,Equity Asset Valuation | Financial Statement Analysis and Security Valuation | Investment Valuation
fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,earnings_growth_and_profitability_drivers,"Earnings, Growth, and Profitability Drivers",15,10,5,0,12.5,well_covered,Common Stocks and Uncommon Profits | Financial Shenanigans | Financial Statement Analysis and Security Valuation
fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,margin_of_safety,Margin of Safety,9,7,2,0,8.0,well_covered,Margin of Safety | Security Analysis | The Essays of Warren Buffett
technical_analysis_and_market_structure,Technical Analysis and Market Structure,trend_analysis,Trend Analysis,7,7,0,0,7.0,well_covered,Come Into My Trading Room | Japanese Candlestick Charting Techniques | Technical Analysis
technical_analysis_and_market_structure,Technical Analysis and Market Structure,support_and_resistance,Support and Resistance,6,5,1,0,5.5,well_covered,Technical Analysis | Technical Analysis of Stock Trends | Technical Analysis of the Financial Markets
technical_analysis_and_market_structure,Technical Analysis and Market Structure,chart_patterns_and_price_action,Chart Patterns and Price Action,5,5,0,0,5.0,adequate,Japanese Candlestick Charting Techniques | Technical Analysis | Technical Analysis of Stock Trends
technical_analysis_and_market_structure,Technical Analysis and Market Structure,volume_analysis,Volume Analysis,4,4,0,0,4.0,adequate,Japanese Candlestick Charting Techniques | Technical Analysis | Technical Analysis of Stock Trends
technical_analysis_and_market_structure,Technical Analysis and Market Structure,momentum_and_technical_indicators,Momentum and Technical Indicators,6,5,1,0,5.5,well_covered,Come Into My Trading Room | Japanese Candlestick Charting Techniques | Technical Analysis
technical_analysis_and_market_structure,Technical Analysis and Market Structure,market_structure_and_regime_identification,Market Structure and Regime Identification,9,7,2,0,8.0,well_covered,Come Into My Trading Room | Technical Analysis | Technical Analysis of Stock Trends
risk_management,Risk Management,position_sizing,Position Sizing,9,9,0,0,9.0,well_covered,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk | Come Into My Trading Room | Market Wizards
risk_management,Risk Management,stop_loss_and_exit_rules,Stop-Loss and Exit Rules,11,8,3,0,9.5,well_covered,Come Into My Trading Room | Entries & Exits | Market Wizards
risk_management,Risk Management,risk_reward_and_expectancy,Risk-Reward and Expectancy,13,9,4,0,11.0,well_covered,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk | Against the Gods | Fooled by Randomness
risk_management,Risk Management,drawdown_management,Drawdown Management,6,4,2,0,5.0,well_covered,Come Into My Trading Room | Market Wizards | The New Sell and Sell Short
risk_management,Risk Management,leverage_and_margin_risk,Leverage and Margin Risk,10,4,6,0,7.0,well_covered,Fixed Income Analysis | Quantitative Trading | Technical Analysis of Stock Trends
risk_management,Risk Management,exposure_and_concentration_limits,Exposure and Concentration Limits,5,3,2,0,4.0,adequate,Active Portfolio Management: A Quantitative Approach for Producing Superior Returns and Selecting Superior Returns and Controlling Risk | Come Into My Trading Room | Technical Analysis of Stock Trends
portfolio_construction_and_asset_allocation,Portfolio Construction and Asset Allocation,asset_allocation,Asset Allocation,11,11,0,0,11.0,well_covered,A Random Walk Down Wall Street | All About Asset Allocation | Asset Allocation: Balancing Financial Risk
portfolio_construction_and_asset_allocation,Portfolio Construction and Asset Allocation,diversification,Diversification,20,14,6,0,17.0,well_covered,A Random Walk Down Wall Street | Against the Gods | All About Asset Allocation
