created_at,annotation_type,book_key,corpus_row,google_volume_id,canonical_isbn_13,isbn_13,isbn_10,title,author,concept_slug,concept_name,parent_slug,parent_name,strength,strength_label,notes
2026-05-15T02:06:17+00:00,manual,isbn13:9789811084973,1,pn1TDwAAQBAJ,9789811084973,9789811084973,9811084971,Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,asset_classes_and_financial_instruments,Asset Classes and Financial Instruments,market_foundations,Market Foundations,0.5,weak,"Description explicitly mentions financial instruments and market participants, but full depth not verified."
2026-05-15T02:12:52+00:00,manual,isbn13:9782808697651,14,s7dTEQAAQBAJ,9782808697651,9782808697651,2808697651,Mastering Value Investing,Peter Benedikt,financial_statement_analysis,Financial Statement Analysis,fundamental_analysis_and_valuation,Fundamental Analysis and Valuation,0.5,weak,Smoke test annotation; metadata suggests financial statement analysis but depth not verified.
2026-05-15T02:38:09+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,trend_analysis,Trend Analysis,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Core technical analysis text; teaches trends, trendlines, and trend identification as major recurring topics."
2026-05-15T02:38:36+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,support_and_resistance,Support and Resistance,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Teaches support, resistance, prior highs/lows, breakouts, and related level-based analysis."
2026-05-15T02:39:05+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,chart_patterns_and_price_action,Chart Patterns and Price Action,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,Covers major reversal and continuation chart patterns in depth.
2026-05-15T02:40:14+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,volume_analysis,Volume Analysis,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,Teaches volume and open interest as confirmation tools for price movement.
2026-05-15T02:40:35+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,momentum_and_technical_indicators,Momentum and Technical Indicators,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Covers moving averages, oscillators, and technical indicators as major analytical tools."
2026-05-15T02:40:55+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,market_structure_and_regime_identification,Market Structure and Regime Identification,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Teaches identifying market phases such as trends, reversals, continuations, and major technical conditions."
2026-05-15T02:41:23+00:00,manual,isbn13:9781101659199,8,teitAAAAQBAJ,9781101659199,9781101659199,110165919X,Technical Analysis of the Financial Markets,John J. Murphy,strategy_design_and_rule_definition,Strategy Design and Rule Definition,strategy_systems_and_execution,"Strategy, Systems, and Execution",1.0,confirmed,"Translates technical patterns and indicators into trading methods, applications, and rule-based setups."
2026-05-15T02:56:10+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,trend_analysis,Trend Analysis,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Major focus of the book; teaches trends, trend structure, trend continuation, and trend failure."
2026-05-15T02:56:52+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,support_and_resistance,Support and Resistance,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,Teaches support and resistance as core market structure and price action concepts.
2026-05-15T02:57:12+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,chart_patterns_and_price_action,Chart Patterns and Price Action,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Central focus; teaches price action, setups, pullbacks, breakouts, and chart behavior."
2026-05-15T02:57:32+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,momentum_and_technical_indicators,Momentum and Technical Indicators,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,Covers momentum concepts and indicator use as part of technical trading analysis.
2026-05-15T02:57:54+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,market_structure_and_regime_identification,Market Structure and Regime Identification,technical_analysis_and_market_structure,Technical Analysis and Market Structure,1.0,confirmed,"Core theme of the book; teaches market structure, regimes, trends, ranges, and transitions."
2026-05-15T02:58:11+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,position_sizing,Position Sizing,risk_management,Risk Management,1.0,confirmed,Covers sizing and risk allocation as part of practical trading risk management.
2026-05-15T02:58:32+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,stop_loss_and_exit_rules,Stop-Loss and Exit Rules,risk_management,Risk Management,1.0,confirmed,"Teaches stop placement, invalidation, and exit logic as part of trade management."
2026-05-15T02:58:57+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,risk_reward_and_expectancy,Risk-Reward and Expectancy,risk_management,Risk Management,1.0,confirmed,"Covers risk, reward, expectancy, and long-run trade outcome thinking."
2026-05-15T02:59:15+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,strategy_design_and_rule_definition,Strategy Design and Rule Definition,strategy_systems_and_execution,"Strategy, Systems, and Execution",1.0,confirmed,Turns market structure and price action ideas into defined trading setups and rules.
2026-05-15T02:59:35+00:00,manual,isbn13:9781118238141,38,OmaeIdd95EQC,9781118238141,9781118238141,1118238141,The Art and Science of Technical Analysis,Adam Grimes,trade_planning_and_preparation,Trade Planning and Preparation,strategy_systems_and_execution,"Strategy, Systems, and Execution",1.0,confirmed,"Teaches planning trades around setup, entry, risk, target, and context."
