corpus_row,google_volume_id,title,author,dedup_norm_key,duplicate_group,group_size,is_canonical,suggested_canonical_title
1,pn1TDwAAQBAJ,Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,capital markets trading investment strategies china|zhang,0,1,True,Capital Markets Trading and Investment Strategies in China
2,GMiiAxZy_t0C,"An Introduction to Trading in the Financial Markets: Trading, Markets, Instruments, and Processes",R. Tee Williams,introduction trading financial markets|williams,1,2,False,An Introduction to Trading in the Financial Markets: Market Basics
3,41jgAgAAQBAJ,22 Stock Market Trading Secrets,Ashu Dutt,22 stock market trading secrets|dutt,2,1,True,22 Stock Market Trading Secrets
4,cfUKzgEACAAJ,Stock Market Investing,Mark Elder,stock market investing|elder,3,1,True,Stock Market Investing
5,BFBlAQAACAAJ,How Markets Really Work,Larry Connors,how markets really work|connors,4,1,True,How Markets Really Work
6,b_MdzgEACAAJ,STOCK MARKET INVESTING and FOREX TRADING FOR BEGINNERS - 6 Books in 1,Warren Ramsey,stock market investing forex trading beginners 6 books 1|ramsey,5,1,True,STOCK MARKET INVESTING and FOREX TRADING FOR BEGINNERS - 6 Books in 1
7,QU2pLmie9SEC,An Introduction to Trading in the Financial Markets: Market Basics,R. Tee Williams,introduction trading financial markets|williams,1,2,True,An Introduction to Trading in the Financial Markets: Market Basics
8,teitAAAAQBAJ,Technical Analysis of the Financial Markets,John J. Murphy,technical analysis financial markets|murphy,6,1,True,Technical Analysis of the Financial Markets
9,27fDXUtmaUYC,Theory of Financial Markets,Jan Mossin,theory financial markets|mossin,7,1,True,Theory of Financial Markets
10,j744AQAAIAAJ,Yearbook of International Financial and Economic Law 1997,Queen Mary and Westfield College Staff,yearbook international financial economic law 1997|mary,8,1,True,Yearbook of International Financial and Economic Law 1997
11,WrCW5SI-T7AC,"Federal Regulatory Directory, 12th Edition","Kenneth Jost, David Masci, Brian Hansen, Mary H Cooper",federal regulatory directory|jost,9,1,True,"Federal Regulatory Directory, 12th Edition"
12,8GF9zgEACAAJ,Investing and Trading Strategies,Dave Robert Warren Graham,investing trading strategies|graham,10,1,True,Investing and Trading Strategies
13,ch9RAQAAIAAJ,Britain 1995,Great Britain. Central Office of Information,britain 1995|information,11,1,True,Britain 1995
14,s7dTEQAAQBAJ,Mastering Value Investing,Peter Benedikt,mastering value investing|benedikt,12,1,True,Mastering Value Investing
15,fj1oEQAAQBAJ,Simple Investing For Smart Kids:,Dean McNeil,simple investing smart kids|mcneil,13,1,True,Simple Investing For Smart Kids:
16,GlY2pfZGrAkC,Contrarian Investment Strategies in the Next Generation,David Dreman,contrarian investment strategies next generation|dreman,14,1,True,Contrarian Investment Strategies in the Next Generation
17,9fF3Gn_ZuvMC,Value Stocks beat Growth Stocks: An empirical Analysis for the German Stock Market,Christian Schießl,value stocks beat growth stocks|schießl,15,1,True,Value Stocks beat Growth Stocks: An empirical Analysis for the German Stock Market
18,FPWzK0j2KU4C,Value versus Growth - An Empirical Analysis of Equity Fund Managers ́ Capabilities to Generate Alpha,Thomas Müller,value versus growth empirical analysis equity fund managers capabilities generate alpha|müller,16,1,True,Value versus Growth - An Empirical Analysis of Equity Fund Managers ́ Capabilities to Generate Alpha
19,hgd3__K9cCkC,Value Investing,Martin J. Whitman,value investing|whitman,17,1,True,Value Investing
20,5xdYDb1wD9YC,Fundamentals of Investments,Richard A. Stevenson,fundamentals investments|stevenson,18,1,True,Fundamentals of Investments
21,u9xmEp_FB58C,What Is Value Investing?,Lawrence A. Cunningham,what is value investing|cunningham,19,1,True,What Is Value Investing?
22,_Exwgz9_6oEC,Investor's Library,"Marvin Appel, Harry Domash, Michael N. Kahn CMT",investor s library|appel,20,1,True,Investor's Library
23,60UkDwAAQBAJ,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance,Kenneth Jeffrey Marshall,good stocks cheap|marshall,21,1,True,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance
24,PnK_cQAACAAJ,Fundamental Analysis in Value Investing,Chau Duong,fundamental analysis value investing|duong,22,1,True,Fundamental Analysis in Value Investing
25,Bj9I9EzNZhsC,Investing Online For Dummies,Kathleen Sindell,investing online dummies|sindell,23,1,True,Investing Online For Dummies
26,HPHqDwAAQBAJ,Value Investing For Dummies,"Peter J. Sander, Janet Haley",value investing dummies|sander,24,1,True,Value Investing For Dummies
27,rPkmNfPEuIYC,Fundamental Analysis,John C. Ritchie,fundamental analysis|ritchie,25,1,True,Fundamental Analysis
28,XY3pEAAAQBAJ,"The AFIRE Guide to U.S. Real Estate Investing, Fourth Edition: What Global Investors Need to Know about Commercial Real Estate Acquisition, Management, and Disposition",Will McIntosh,afire guide u s real estate investing|mcintosh,26,1,True,"The AFIRE Guide to U.S. Real Estate Investing, Fourth Edition: What Global Investors Need to Know about Commercial Real Estate Acquisition, Management, and Disposition"
29,ZQ0QAQAAMAAJ,"Words on Cassette, 2002",R R Bowker Publishing,words cassette 2002|publishing,27,1,True,"Words on Cassette, 2002"
30,pyeA4Bj3wAgC,The Money Answers Dictionary of Finance and Investment Terms,"John Downes, Jordan Elliot Goodman",money answers dictionary finance investment terms|downes,28,1,True,The Money Answers Dictionary of Finance and Investment Terms
