corpus_row,google_volume_id,title,author,bucket,reason,existing_audit_tier
1,pn1TDwAAQBAJ,Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
2,GMiiAxZy_t0C,"An Introduction to Trading in the Financial Markets: Trading, Markets, Instruments, and Processes",R. Tee Williams,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
3,41jgAgAAQBAJ,22 Stock Market Trading Secrets,Ashu Dutt,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
4,cfUKzgEACAAJ,Stock Market Investing,Mark Elder,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
5,BFBlAQAACAAJ,How Markets Really Work,Larry Connors,ALREADY_JUDGED,judge verdict: KEEP_B (keep),KEEP_B
6,b_MdzgEACAAJ,STOCK MARKET INVESTING and FOREX TRADING FOR BEGINNERS - 6 Books in 1,Warren Ramsey,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
7,QU2pLmie9SEC,An Introduction to Trading in the Financial Markets: Market Basics,R. Tee Williams,ALREADY_JUDGED,judge verdict: REVIEW_C (review),REVIEW_C
8,teitAAAAQBAJ,Technical Analysis of the Financial Markets,John J. Murphy,AUTO_KEEP,pinned roadmap anchor,KEEP_A
9,27fDXUtmaUYC,Theory of Financial Markets,Jan Mossin,ALREADY_JUDGED,judge verdict: KEEP_A (keep),KEEP_A
10,j744AQAAIAAJ,Yearbook of International Financial and Economic Law 1997,Queen Mary and Westfield College Staff,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
11,WrCW5SI-T7AC,"Federal Regulatory Directory, 12th Edition","Kenneth Jost, David Masci, Brian Hansen, Mary H Cooper",ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
12,8GF9zgEACAAJ,Investing and Trading Strategies,Dave Robert Warren Graham,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
13,ch9RAQAAIAAJ,Britain 1995,Great Britain. Central Office of Information,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
14,s7dTEQAAQBAJ,Mastering Value Investing,Peter Benedikt,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
15,fj1oEQAAQBAJ,Simple Investing For Smart Kids:,Dean McNeil,ALREADY_JUDGED,judge verdict: DROP_D (drop),DROP_D
