corpus_row,title,author,source,quality_tier,relevance_tier,confidence,keep_decision,judge_status,avg_rating_best,review_count_best,rating_source_best,evidence_urls,reason,red_flags,duplicate_group,suggested_canonical_title
1,Capital Markets Trading and Investment Strategies in China,Xiaojiang Zhang,google_books,KEEP_B,high,low,keep,ok,,,none,https://www.amazon.com/Capital-Markets-Trading-Investment-Strategies/dp/9811084963; https://www.springer.com/gp/book/9789811084966; https://content.e-bookshelf.de/media/reading/L-10910036-7d0e6849a2.pdf,"Published by Springer in 2018, this is a credible practitioner guide covering Chinese capital markets, trading strategies, and macro frameworks—highly relevant to Atlas's investing/trading/markets/macro scope. The author has genuine industry credentials in FX, fixed income, and derivatives at major global institutions, and has a second Springer title, lending legitimacy. No ratings or review data exist, but the absence of reviews for a specialist Springer academic/practitioner text is not disqualifying. No red flags such as summary, workbook, or hyperbolic claims are present.",,0,Capital Markets Trading and Investment Strategies in China
2,"An Introduction to Trading in the Financial Markets: Trading, Markets, Instruments, and Processes",R. Tee Williams,google_books,KEEP_B,high,low,keep,ok,3.22,9,goodreads,https://www.goodreads.com/book/show/13164343-an-introduction-to-trading-in-the-financial-markets; https://www.goodreads.com/author/show/4192510.R_Tee_Williams; https://www.amazon.com/Introduction-Trading-Financial-Markets-Instruments/dp/0123748399; https://ideas.repec.org/b/eee/monogr/9780123748386.html; https://www.sciencedirect.com/book/9780123748393/an-introduction-to-trading-in-the-financial-markets,"This is Volume 2 of a legitimate 4-volume academic series published by Academic Press (Elsevier), covering trading mechanics, market structure, instruments, and execution processes — highly relevant to Atlas's scope. The author is a credentialed market data consultant, and the publisher lends credibility. The near-absence of ratings means quality is uncertain but there are no red flags suggesting low-quality or derivative content, making KEEP_B appropriate pending more evidence.",virtually no ratings for this specific volume; low aggregate author rating (3.22) from very few reviews,1,An Introduction to Trading in the Financial Markets: Market Basics
3,22 Stock Market Trading Secrets,Ashu Dutt,google_books,DROP_D,medium,high,drop,ok,3.88,52,goodreads,https://www.goodreads.com/book/show/26254562-22-stock-market-trading-secrets; https://www.goodreads.com/author/list/3113925.Ashu_Dutt; https://www.amazon.com/22-Stock-Market-Trading-Secrets/dp/817094838X; https://www.amazon.in/Stock-Market-Trading-Secrets-English/dp/B07WPFNYCY; https://books.google.com/books?id=41jgAgAAQBAJ; https://bestofusedbooks.com/products/22-stock-market-trading-secrets,"The description explicitly claims '50% to 100% every year with low risk,' which triggers the hard red-flag rule for hyperbolic return claims. The title also uses 'secrets'-style marketing language, another hard red flag. Despite the author's credible Indian financial media background, neither the modest rating (3.88 with only 52 reviews) nor the limited readership provides sufficient canonical override to counteract these structural red flags.",hyperbolic return claims ('50% to 100% every year with low risk'); 'secrets' marketing language in title; described as helpful for beginners; no appearances on reputable investing reading lists; low review count (52) provides weak confidence,2,22 Stock Market Trading Secrets
4,Stock Market Investing,Mark Elder,google_books,DROP_D,low,high,drop,ok,3.56,66,goodreads,https://www.goodreads.com/author/list/639447.Mark_Elder; https://www.goodreads.com/book/show/53971283-stock-trading-strategy; https://www.abebooks.com/9781801137515/Stock-Trading-Strategy-Intelligent-Investor-180113751X/plp; https://www.amazon.com/Stock-Trading-Strategy-Intelligent-Strategies/dp/180113751X; https://www.amazon.co.uk/Stock-Trading-Strategy-Intelligent-Strategies/dp/180113751X; https://www.readinglength.com/author/AKnDBN,"This book exhibits multiple hard red flags: 'kiss your 9-to-5 goodbye' and passive-income marketing language, a prolific self-publishing author with 57+ titles in beginner bundle format, and a component manuscript rating of just 2.88/5. Amazon reviewer criticism confirms shallow, low-quality content with no actionable strategy, and there are no credible finance reading-list mentions or canonical status to override these signals.","'kiss your 9-to-5 goodbye' / retirement framing / passive income marketing language; Prolific self-publisher with 57+ titles, many multi-manuscript bundles; Component manuscript rated 2.88/5 on Goodreads; Amazon reviewer describes content as shallow 'word salad'; Inconsistent author bio claiming 20+ vs 30+ years experience; No credible finance reading-list mentions; Beginner-targeted bundle format",3,Stock Market Investing
5,How Markets Really Work,Larry Connors,google_books,KEEP_B,high,medium,keep,ok,3.54,41,goodreads,https://www.goodreads.com/book/show/16473073-how-markets-really-work; https://www.goodreads.com/work/editions/22666282-how-markets-really-work-quantitative-guide-to-stock-market-behavior; https://www.goodreads.com/author/show/4355706.Connors_Research; https://www.goodreads.com/author/list/775707.Larry_Connors; https://www.amazon.com/How-Markets-Really-Work-Quantitative/dp/1118166507; https://tradermarkus.com/larry-connors-how-markets-really-work-review/; https://www.amazon.com/How-Markets-Really-Work-Quantitative/dp/0975551310,"Published by Wiley in their Bloomberg Financial series, this is a legitimate quantitative trading title by Larry Connors, a credentialed author with endorsements from The Gartman Letter. The 3.54 Goodreads rating is borderline but based on only 41 reviews, limiting confidence; the content is substantive and data-driven rather than a summary or workbook. The topic — statistical edge testing of common market patterns — is directly relevant to Atlas's investing/trading scope, and Connors is a recognized name in quantitative retail trading literature.",low review count (41); rating borderline at 3.54,4,How Markets Really Work
6,STOCK MARKET INVESTING and FOREX TRADING FOR BEGINNERS - 6 Books in 1,Warren Ramsey,google_books,DROP_D,medium,high,drop,ok,3.52,23,goodreads,https://www.amazon.in/INVESTING-BEGINNERS-Financial-Investing-Management/dp/1914192176; https://www.goodreads.com/author/show/2841113.Warren_Ramsey; https://www.amazon.com/Warren-Ramsey/e/B08FBK3CQQ/ref=dp_byline_cont_pop_book_1,"This is a textbook DROP_D case: a '6 Books in 1' bundle explicitly targeting beginners with 'get rich' marketing language, published by an obscure publisher with no verifiable author credentials. Ratings are both low in score (3.52) and negligible in volume (23 across all author works), providing no redemptive signal. Multiple hard red flags are triggered simultaneously with zero canonical override evidence.",6 books in 1 bundle; for beginners label; get rich language; no credible author credentials; extremely low review count; self-published content farm; hyperbolic marketing copy,5,STOCK MARKET INVESTING and FOREX TRADING FOR BEGINNERS - 6 Books in 1
7,An Introduction to Trading in the Financial Markets: Market Basics,R. Tee Williams,google_books,REVIEW_C,high,low,review,ok,3.22,9,goodreads,https://www.goodreads.com/author/show/4192510.R_Tee_Williams; https://www.goodreads.com/book/show/8918326-an-introduction-to-trading-in-the-financial-markets; https://www.amazon.com/Introduction-Trading-Financial-Markets-Market/dp/0123748380; https://ideas.repec.org/b/eee/monogr/9780123748386.html; https://www.sciencedirect.com/book/monograph/9780123748386/an-introduction-to-trading-in-the-financial-markets; https://booksite.elsevier.com/samplechapters/9780123748386/01~Front_Matter.pdf,"Published by Academic Press (Elsevier) with a credentialed author of 30 years' market experience, this is a legitimate professional reference on financial markets — not a summary or workbook. However, the Goodreads rating of 3.22 from only 9 reviews provides very weak evidence of quality, and the complete absence of Amazon reviews suggests minimal market traction. The topic is highly relevant to Atlas, but the near-absence of engagement data makes a confident quality call impossible without human review.",very low review count (9 ratings); below-threshold rating (3.22); no Amazon reviews for this specific volume,1,An Introduction to Trading in the Financial Markets: Market Basics
8,Technical Analysis of the Financial Markets,John J. Murphy,google_books,KEEP_A,high,high,keep,ok,4.15,6226,goodreads,https://www.goodreads.com/book/show/212102.Technical_Analysis_of_the_Financial_Markets; https://www.goodreads.com/author/list/26990.John_J_Murphy; https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661; https://www.penguinrandomhouse.com/books/350647/technical-analysis-of-the-financial-markets-by-john-j-murphy/; https://thebubblebubble.substack.com/p/my-15-favorite-trading-and-market; https://www.colibritrader.com/recommended-technical-analysis-books/; https://changelly.com/blog/best-stock-market-books/; https://www.goodreads.com/author/show/26990.John_J_Murphy,"Universally recognized as 'the bible of technical analysis,' this landmark reference by John J. Murphy is a canonical work in trading and financial markets education. The author-level Goodreads rating of 4.15 from over 6,200 ratings, combined with consistent placement on reputable reading lists and strong institutional credentials (CNBC, Merrill Lynch, IFTA), firmly supports KEEP_A status. No red flags: this is a substantive, original reference work with no signs of being a summary, workbook, or low-content product. The 8 existing manual annotations in Atlas further confirm its canonical standing.",,6,Technical Analysis of the Financial Markets
9,Theory of Financial Markets,Jan Mossin,google_books,KEEP_A,high,medium,keep,ok,,,none,https://www.amazon.com/Financial-Markets-Prentice-Hall-international-management/dp/0139136991; https://www.ebay.com/p/2976255; https://books.google.com/books/about/Theory_of_Financial_Markets.html?id=27fDXUtmaUYC; https://en.wikipedia.org/wiki/Jan_Mossin; https://www.nhh.no/en/departments/business-and-management-science/pioneers-and-honorary-doctors---department-of-business-and-management-science/jan-mossin/; https://www.aeaweb.org/articles?id=10.1257%2F0895330042162340; https://www.thriftbooks.com/a/jan-mossin/576931/,"Jan Mossin was a co-developer of CAPM alongside Sharpe and Lintner, and Wikipedia notes he would have been a Nobel Prize candidate in 1990 had he lived. This 1972 Prentice-Hall monograph on financial market theory and the economics of uncertainty is a foundational academic work by one of modern finance's architects, published by a reputable academic press with no red flags. No consumer ratings exist given the book's age and academic niche, but canonical override applies: the author's foundational stature in financial economics makes this a must-keep.",,7,Theory of Financial Markets
10,Yearbook of International Financial and Economic Law 1997,Queen Mary and Westfield College Staff,google_books,DROP_D,low,high,drop,ok,,,none,"https://www.wildy.com/isbn/9789041197726/yearbook-of-international-financial-and-economic-law-hardback-kluwer-law-international; http://link.law.upenn.edu/portal/The-Thai-financial-and-economic-crisis-of-1997-98/rwa7jBDryD0/; https://www.amazon.co.uk/Books-Kluwer-Law-International/s?rh=n:266239,p_27:Kluwer+Law+International","This is a specialized academic law yearbook covering international financial and economic law developments from 1997, published by Kluwer/Springer with credible institutional contributors. However, it falls squarely within international financial law rather than Atlas's core scope of investing, trading, financial markets, or macro. With no ratings, no reading-list presence, and content that is both dated and legally rather than investment-focused, it does not belong in Atlas.","international financial law yearbook, not investing/trading/markets content; highly specialized academic legal reference; outdated (1997 developments); no consumer ratings or reading-list presence",8,Yearbook of International Financial and Economic Law 1997
