corpus_row,google_volume_id,title,subtitle,author,isbn_13,canonical_isbn_13,description,publisher,publication_year,categories,language,cover_url,quality_tier,relevance_tier,keep_source,duplicate_group,collapsed_count
1,pn1TDwAAQBAJ,Capital Markets Trading and Investment Strategies in China,A Practitioner's Guide,Xiaojiang Zhang,9789811084973,9789811084973,"This book covers in detail the building blocks of Chinese capital markets at the financial instrument level, the analytical pricing term structure of those instruments, the macro and industry economic framework and progress of the liberalization processes at work in the respective markets, the interaction of various participants in the markets, their trading and investment objectives and rationales, some of the most frequently applied trading and investment strategies, and risk management techniques. The book will especially benefit financial practitioners with in-depth knowledge of their respective capital markets area regarding foreign exchange, money markets, fixed income, and related derivatives, and who have a keen interest in gaining deeper insights into the Chinese market so as to develop or strengthen their global strategy application and risk management practice.",Springer,2018,Business & Economics,en,https://books.google.com/books/content?id=pn1TDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,0,1
2,GMiiAxZy_t0C,"An Introduction to Trading in the Financial Markets: Trading, Markets, Instruments, and Processes",,R. Tee Williams,9780080951188,9780080951188,"Trading on the financial markets requires the mastery of many subjects, from strategies and the instruments being traded to market structures and the mechanisms that drive executions. This second of four volumes explores them all. After brief explanations of the activities associated with buying and selling, the book covers principals, agents, and the market venues in which they interact. Next come the instruments that they buy and sell: how are they categorized and how do they act? Concluding the volume is a discussion about major processes and the ways that they vary by market and instrument. Contributing to these explanations are visual cues that guide readers through the material. Making profitable trades might not be easy, but with the help of this book they are possible. - Explains the basics of investing and trading, markets, instruments, and processes - Presents major concepts with graphs and easily-understood definitions - Builds upon the introduction provided by Book 1 while preparing the reader for Books 3 and 4",Academic Press,2011,Business & Economics,en,https://books.google.com/books/content?id=GMiiAxZy_t0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,1,1
5,BFBlAQAACAAJ,How Markets Really Work,Quantitative Guide to Stock Market Behavior,Larry Connors,9781118166505,9781118166505,"For years, traders and investors have been using unproven assumptions about popular patterns such as breakouts, momentum, new highs, new lows, market breadth, put/call ratios and more without knowing if there is a statistical edge. Common wisdom holds that the stock markets are ever changing. But, as it turns out, common wisdom can be wrong. Offering a comprehensive look back at the way the markets have acted over the last two decades, How Markets Really Work: A Quantitative Guide to Stock Market Behavior, Second Edition shows that nothing has changed, that the markets behave the same way today as they have in years past, and that understanding this puts you in a prime position to profit. Written by two top financial experts and filled with charts and graphs that illustrate the market concepts they develop, the book takes a sometimes contrarian view of everything from market edges to historical volatility, and from volume to put/call ratio, giving you all that you need to truly understand how the markets function. Fully revised and updated, How Markets Really Work, Second Edition takes a level-headed, data-driven look at the markets to show how they function and how you can apply that information intelligently when making investment decisions.",Wiley,2012,Business & Economics,en,https://books.google.com/books/content?id=BFBlAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,4,1
8,teitAAAAQBAJ,Technical Analysis of the Financial Markets,A Comprehensive Guide to Trading Methods and Applications,John J. Murphy,9781101659199,9781101659199,"John J. Murphy has now updated his landmark bestseller Technical Analysis of the Futures Markets, to include all of the financial markets. This outstanding reference has already taught thousands of traders the concepts of technical analysis and their application in the futures and stock markets. Covering the latest developments in computer technology, technical tools, and indicators, the second edition features new material on candlestick charting, intermarket relationships, stocks and stock rotation, plus state-of-the-art examples and figures. From how to read charts to understanding indicators and the crucial role technical analysis plays in investing, readers gain a thorough and accessible overview of the field of technical analysis, with a special emphasis on futures markets. Revised and expanded for the demands of today's financial world, this book is essential reading for anyone interested in tracking and analyzing market behavior.",Penguin,1999,Business & Economics,en,https://books.google.com/books/content?id=teitAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,pin,6,1
9,27fDXUtmaUYC,Theory of Financial Markets,,Jan Mossin,9780139136993,9780139136993,Monograph on financial market theory and the economics of uncertainty - examines capital market phenomena and offers a theoretical framework for financial policy formulation and corporate investment decision making. References.,"Englewood Cliffs, N.J. : Prentice-Hall",1972,Business & Economics,en,https://books.google.com/books/content?id=27fDXUtmaUYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_A,high,web_keep_a,7,1
16,GlY2pfZGrAkC,Contrarian Investment Strategies in the Next Generation,,David Dreman,9781451602197,9781451602197,"David Dreman's name is synonymous with the term ""contrarian investing,"" and his contrarian strategies have been proven winners year after year. His techniques have spawned countless imitators, most of whom pay lip service to the buzzword ""contrarian,"" but few can match his performance. His Kemper-Dreman High Return Fund has been the leader since its inception in 1988 -- the number one equity-income fund among all 208 ranked by Lipper Analytical Services, Inc. Dreman is also one of a handful of money managers whose clients have beaten the runaway market over the past five, ten, and fifteen years. Now, as the longest bull market in the history of the stock market winds down, there is increasing volatility and a great deal of uncertainty. This is the climate that tests the mettle of the pros, the worries of the average investor, and the success of David Dreman's brilliant new strategies for the next millennium. ""Contrarian Investment Strategies: The Next Generation"" shows investors how to outperform professional money managers and profit from potential Wall Street panics -- all in Dreman's trademark style, which ""The New York Times"" calls ""witty and clear as a silver bell."" Dreman reveals a proven, systematic, and safe way to beat the market by buying stocks of good companies when they are currently out of favor. At the heart of his book is a fundamental psychological insight: investors overreact. Dreman demonstrates how investors consistently overvalue the so-called ""best"" stocks and undervalue the so-called ""worst"" stocks, and how earnings and other surprises affect the best and worst stocks in opposite ways. Since surprises are a way of life in the market, Dreman shows you how to profit from these surprises with his ingenious new techniques, most of which have been developed in the nineties. You'll learn: Why contrarian stocks offer extra protection in bear markets, as well as delivering superior returns when the bull roars. Why a high dividend yield is just as important for the aggressive investor as it is for ""widows and orphans."" Why owning Treasury bills and government bonds -- the ""safest investments"" for centuries -- is like being fully margined at the top of the 1929 market. Why Initial Public Offerings are a guaranteed loser's game. Why you should avoid Nasdaq (""the market of the next hundred years"") like the plague. Why crisis, panic, and even market downturns are the contrarian investor's best friend. Why the chances of hitting a home run using the Street's best research are worse than being the big winner in the New York State Lottery. Based on cutting-edge research and irrefutable statistics, David Dreman's revolutionary techniques will benefit professionals and laymen alike.",Simon and Schuster,1998,Business & Economics,en,https://books.google.com/books/content?id=GlY2pfZGrAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,14,1
19,hgd3__K9cCkC,Value Investing,A Balanced Approach,Martin J. Whitman,9780471398103,9780471398103,"Provides a modern analytical framework for assessing a company's true value Written by a true value investor known for his ability to buy undervalued companies and re-sell them at a substantial profit, Value Investing provides an analytical framework that evaluates the impact of real events-including restructuring, regulations, mergers and acquisitions, and other important factors-on a company's value. Well-known for his success with distressed corporations and value investing, author Martin Whitman wages a controversial attack on the modern financial practice of focusing on price movements and short-term trading. In Value Investing, Whitman identifies fundamental factors affecting the value of companies and entire markets from the ground up and takes value investing one step further by demonstrating how industry movement and public policy decisions can lead to greater returns. He also highlights the shortcomings of all the popularly applied analytical techniques.",John Wiley & Sons,2000,Business & Economics,en,https://books.google.com/books/content?id=hgd3__K9cCkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,17,1
23,60UkDwAAQBAJ,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance,,Kenneth Jeffrey Marshall,9781259836084,9781259836084,"Power through the ups and downs of the market with the Value Investing Model. Stock prices fluctuate unpredictably. But company values stay relatively steady. This insight is the basis of value investing, the capital management strategy that performs best over the long term. With Good Stocks Cheap, you can get started in value investing right now. Longtime outperforming value investor, professor, and international speaker Kenneth Jeffrey Marshall provides step-by-step guidance for creating your own value investing success story. You’ll learn how to: • Master any company with fundamental analysis • Distinguish between a company’s stock price from its worth • Measure your own investment performance honestly • Identify the right price at which to buy stock in a winning company • Hold quality stocks fearlessly during market swings • Secure the fortitude necessary to make the right choices and take the right actions Marshall leaves no stone unturned. He covers all the fundamental terms, concepts, and skills that make value investing so effective. He does so in a way that’s modern and engaging, making the strategy accessible to any motivated person regardless of education, experience, or profession. His plain explanations and simple examples welcome both investing newcomers and veterans. Good Stocks Cheap is your way forward because the Value Investing Model turns market gyrations into opportunities. It works in bubbles by showing which companies are likely to excel over time, and in downturns by revealing which of these leading businesses are the most underpriced. Build a powerful portfolio poised to deliver outstanding outcomes over a lifetime. Put the strength of value investing to work for you with Good Stocks Cheap.",McGraw Hill Professional,2017,Business & Economics,en,https://books.google.com/books/content?id=60UkDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,21,1
26,HPHqDwAAQBAJ,Value Investing For Dummies,,"Peter J. Sander, Janet Haley",9780470232224,9780470232224,"Want to follow in Warren Buffett’s investing footprints? Value Investing For Dummies, 2nd Edition, explains what value investing is and how to incorporate it into your overall investment strategy. It presents a simple, straightforward way to apply proven investment principles, spot good deals, and produce extraordinary returns. This plain-English guide reveals the secrets of how to value stocks, decide when the price is right, and make your move. You’ll find out why a good deal is a good deal, no matter what the bulls and bears say, get tips in investing during jittery times, and understand how to detect hidden agendas in financial reports. And, you’ll uncover the keys to identifying the truly good businesses with enduring and growing value that continually outperform both their competition and the market as a whole. Discover how to: Understand financial investments View markets like a value investor Assess a company’s value Make use of value investing resources Incorporate fundamentals and intangibles Make the most of funds, REITs, and ETFs Develop your own investing style Figure out what a financial statement is really telling you Decipher earnings and cash-flow statements Detect irrational exuberance in company publications Make a value judgment and decide when to buy Complete with helpful lists of the telltale signs of value and “unvalue,” as well as the habits of highly successful value investors, Value Investing For Dummies, 2nd Edition, could be the smartest investment you’ll ever make!",John Wiley & Sons,2008,Business & Economics,en,https://books.google.com/books/content?id=HPHqDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,24,1
28,XY3pEAAAQBAJ,"The AFIRE Guide to U.S. Real Estate Investing, Fourth Edition: What Global Investors Need to Know about Commercial Real Estate Acquisition, Management, and Disposition",,Will McIntosh,9781265417086,9781265417086,"Invest responsibly and generate long-term value with the definitive guide to U.S. real estate investing written specifically for non-U.S. investors Whether you’re an institutional investor already active or you’re seeking to enter U.S. commercial real estate markets, The AFIRE Guide to U.S. Real Estate Investing serves as both an invaluable general overview and as an evergreen reference that you’ll return to again and again. From the Association of Foreign Investors in Real Estate (AFIRE), this new edition has been revised and expanded to bring you fully up to date on the issues and practices they need to build a solid real estate portfolio. It includes a brand-new forward, introduction, and glossary, as well as 35 new or updated chapters divided into four sections: •Section 1: Preparing for Investment into the U.S. covers investment strategy, real estate and tax law, corporate responsibility, industry resources, and professional roles. •Section 2: The Commercial Real Estate Lifecycle explores property due diligence, acquisition, operational management, and disposition of U.S. real estate assets. •Section 3: Finance and Partnerships explains important financial topics, including information for lenders and borrowers, joint ventures, loans and debt, commingled funds, bankruptcy, and Islamic finance. •Section 4: Tax and Regulatory Issues discusses securities laws, the Bank Secrecy Act, the Patriot Act, Office of Foreign Assets Control, taxation, real estate investment trusts (REITs), estates and gifts, agreements, and litigation. Other commercial real estate guides cover individual investors, property flipping, or the technical aspects of taxation and finance. Written just for you, The AFIRE Guide to U.S. Real Estate Investing takes the unique approach of focusing on international business, finance, and real estate as well as institutional long-term, multi-generational investment.",McGraw Hill Professional,2024,Business & Economics,en,https://books.google.com/books/content?id=XY3pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,medium,web_keep_b,26,1
