user_id,archetype,pool_size,n_qualified_heldout,n_all_heldout,ndcg_ce,ndcg_rrf,ndcg_gap,ndcg_pop,ndcg_emb,ndcg_ce_all,ndcg_rrf_all,ce_lift_vs_rrf
synthetic-value_investor-u4,value_investor,104,3,3,0.2960819109658652,0.0,0.0,0.13565197343244778,0.0,0.2960819109658652,0.0,0.2960819109658652
synthetic-value_investor-u13,value_investor,122,3,3,0.0,0.0,0.0,0.1480409554829326,0.14126697285982898,0.0,0.0,0.0
synthetic-value_investor-u23,value_investor,125,1,3,0.3562071871080222,0.0,0.0,0.0,0.0,0.16716045496620227,0.0,0.3562071871080222
synthetic-value_investor-u25,value_investor,124,3,3,0.0,0.23463936301137822,0.46927872602275644,0.18154179253735267,0.0,0.0,0.23463936301137822,-0.23463936301137822
synthetic-value_investor-u41,value_investor,102,2,3,0.0,0.0,0.0,0.0,0.17723928678404774,0.0,0.0,0.0
synthetic-value_investor-u51,value_investor,123,3,3,0.3379680345449381,0.0,0.0,0.14126697285982898,0.0,0.3379680345449381,0.0,0.3379680345449381
synthetic-value_investor-u58,value_investor,101,2,3,0.0,0.21840743681816419,0.0,0.0,0.3065735963827292,0.0,0.16716045496620227,-0.21840743681816419
synthetic-technical_trader-u8,technical_trader,100,3,3,0.0,0.0,0.0,0.38268031849431083,0.0,0.0,0.0,0.0
synthetic-technical_trader-u13,technical_trader,120,2,3,0.6131471927654584,0.0,0.3065735963827292,0.23719771276929622,0.0,0.46927872602275644,0.0,0.6131471927654584
synthetic-technical_trader-u15,technical_trader,100,2,3,0.23719771276929622,0.0,0.0,0.2640681225725909,0.0,0.18154179253735267,0.0,0.23719771276929622
synthetic-technical_trader-u28,technical_trader,117,3,3,0.5726073975563163,0.0,0.0,0.4367467095119258,0.16716045496620227,0.5726073975563163,0.0,0.5726073975563163
synthetic-technical_trader-u35,technical_trader,118,2,3,0.6509209298071326,0.0,0.0,0.0,0.20438239758848611,0.49818925746641285,0.0,0.6509209298071326
synthetic-technical_trader-u37,technical_trader,100,2,3,0.19342640361727081,0.38685280723454163,0.0,0.6934264036172708,0.19342640361727081,0.1480409554829326,0.2960819109658652,-0.19342640361727081
synthetic-macro_thinker-u5,macro_thinker,106,3,3,0.0,0.0,0.0,0.1480409554829326,0.46927872602275644,0.0,0.0,0.0
synthetic-macro_thinker-u11,macro_thinker,99,3,3,0.0,0.0,0.0,0.14126697285982898,0.0,0.0,0.0,0.0
synthetic-macro_thinker-u14,macro_thinker,105,3,3,0.0,0.0,0.0,0.0,0.16716045496620227,0.0,0.0,0.0
synthetic-macro_thinker-u22,macro_thinker,105,3,3,0.15642624200758548,0.16716045496620227,0.20210734650054757,0.3084274278260313,0.46927872602275644,0.15642624200758548,0.16716045496620227,-0.01073421295861679
synthetic-macro_thinker-u39,macro_thinker,107,2,3,0.38685280723454163,0.0,0.0,0.0,0.0,0.2960819109658652,0.0,0.38685280723454163
synthetic-macro_thinker-u50,macro_thinker,103,3,3,0.0,0.0,0.13565197343244778,0.0,0.0,0.0,0.0,0.0
synthetic-macro_thinker-u56,macro_thinker,110,1,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
synthetic-behavioral_trader-u0,behavioral_trader,101,3,3,0.370291336443826,0.15642624200758548,0.0,0.14126697285982898,0.0,0.370291336443826,0.15642624200758548,0.21386509443624052
synthetic-behavioral_trader-u7,behavioral_trader,121,3,3,0.16716045496620227,0.16716045496620227,0.37590633587120725,0.16716045496620227,0.0,0.16716045496620227,0.16716045496620227,0.0
synthetic-behavioral_trader-u26,behavioral_trader,118,3,3,0.2960819109658652,0.0,0.0,0.0,0.0,0.2960819109658652,0.0,0.2960819109658652
synthetic-behavioral_trader-u33,behavioral_trader,100,3,3,0.2960819109658652,0.14126697285982898,0.15642624200758548,0.18154179253735267,0.0,0.2960819109658652,0.14126697285982898,0.15481493810603625
synthetic-behavioral_trader-u35,behavioral_trader,98,3,3,0.49818925746641285,0.1480409554829326,0.0,0.0,0.18154179253735267,0.49818925746641285,0.1480409554829326,0.35014830198348024
synthetic-behavioral_trader-u43,behavioral_trader,123,3,3,0.34870224750355494,0.18154179253735267,0.23463936301137822,0.3084274278260313,0.0,0.34870224750355494,0.18154179253735267,0.16716045496620227
synthetic-behavioral_trader-u46,behavioral_trader,81,3,3,0.3235866969737877,0.7039180890341347,0.2960819109658652,0.2960819109658652,0.7653606369886217,0.3235866969737877,0.7039180890341347,-0.38033139206034694
synthetic-behavioral_trader-u61,behavioral_trader,96,3,3,0.0,0.46927872602275644,0.20210734650054757,0.4776237035032179,0.0,0.0,0.46927872602275644,-0.46927872602275644
