archetype,user_idx,strategy,sequential_gap_ndcg,static_gap_ndcg,raw_gap_reduction,total_initial_gap
value_investor,0,gap,0.8604959109239414,1.0,47.5,63.5
value_investor,0,popularity,0.7782065856656131,0.749933925358537,49.5,63.5
value_investor,0,tfidf,0.09520661475298985,0.07002545632372575,7.5,63.5
value_investor,0,embedding,0.19497321725913436,0.1763325991316736,16.5,63.5
value_investor,0,rrf,0.8840655501516906,0.9828803924153079,50.0,63.5
value_investor,0,cross_encoder,0.8251669812267312,0.79294935340313,52.0,63.5
value_investor,1,gap,0.8999386388255489,1.0,43.5,53.0
value_investor,1,popularity,0.8190677345345894,0.7767097622826151,42.5,53.0
value_investor,1,tfidf,0.1638616691522053,0.09991651028414274,8.5,53.0
value_investor,1,embedding,0.1184308774766448,0.08581511092316252,9.0,53.0
value_investor,1,rrf,0.8883564845530534,0.9508464862601242,43.0,53.0
value_investor,1,cross_encoder,0.7412437969028128,0.7776037479852671,42.5,53.0
value_investor,2,gap,0.851116585629897,1.0,48.0,66.0
value_investor,2,popularity,0.8008853951298511,0.822722060953091,51.0,66.0
value_investor,2,tfidf,0.06548098214067329,0.06291328566651554,5.0,66.0
value_investor,2,embedding,0.06858636407807588,0.06978059708664336,5.0,66.0
value_investor,2,rrf,0.9015581604041154,0.9372859267691864,55.0,66.0
value_investor,2,cross_encoder,0.790085896280793,0.7743479075961157,54.0,66.0
value_investor,3,gap,0.863478591651473,1.0,48.0,64.0
value_investor,3,popularity,0.7649153133910862,0.7178920901354763,50.5,64.0
value_investor,3,tfidf,0.06305699094629082,0.06546676358127532,4.0,64.0
value_investor,3,embedding,0.15469742912295406,0.12515938111769773,14.0,64.0
value_investor,3,rrf,0.8533074240742804,0.9219770007440898,50.0,64.0
value_investor,3,cross_encoder,0.7772749368531665,0.7977895777120754,51.5,64.0
value_investor,4,gap,0.8433218966435724,1.0,44.0,57.5
value_investor,4,popularity,0.7389049130914888,0.6859676746012546,47.5,57.5
value_investor,4,tfidf,0.08181798896958944,0.08270741247868474,6.0,57.5
value_investor,4,embedding,0.1491508469226336,0.15567325902012955,10.0,57.5
value_investor,4,rrf,0.8394712862054797,0.9302889819447848,45.0,57.5
value_investor,4,cross_encoder,0.6887028251162599,0.7227323162242916,44.5,57.5
technical_trader,0,gap,0.8975705468406476,1.0,36.5,45.0
technical_trader,0,popularity,0.767683367222866,0.8041169971647034,32.0,45.0
technical_trader,0,tfidf,0.34203518182793957,0.3643459411015928,15.0,45.0
technical_trader,0,embedding,0.383730364135799,0.4692823153104617,15.0,45.0
technical_trader,0,rrf,0.8840749496873866,0.9315588684248959,37.5,45.0
technical_trader,0,cross_encoder,0.779442964879915,0.822686996770111,33.5,45.0
technical_trader,1,gap,0.8750551165440469,1.0,47.5,62.5
technical_trader,1,popularity,0.8362523926767645,0.7459749608466767,46.5,62.5
technical_trader,1,tfidf,0.2499971240914178,0.2019561792036779,17.5,62.5
technical_trader,1,embedding,0.21816212544411173,0.17429927444851018,15.5,62.5
technical_trader,1,rrf,0.8845860729752902,0.9405898181136771,48.0,62.5
technical_trader,1,cross_encoder,0.8422472075678354,0.7328536901666863,46.5,62.5
technical_trader,2,gap,0.8549325934653759,1.0,40.0,51.0
technical_trader,2,popularity,0.8174608643401857,0.7325510299474284,38.0,51.0
technical_trader,2,tfidf,0.20499966488534876,0.14700208694963285,11.0,51.0
technical_trader,2,embedding,0.21451184176304883,0.1457437665763626,13.5,51.0
technical_trader,2,rrf,0.8220172722772771,0.930110023257627,40.0,51.0
technical_trader,2,cross_encoder,0.8302815192504468,0.8528888562252528,38.0,51.0
technical_trader,3,gap,0.8846815663849635,1.0,43.0,55.5
technical_trader,3,popularity,0.8023667528556313,0.7131199926737596,39.0,55.5
technical_trader,3,tfidf,0.3072103714013247,0.2494327321424643,15.5,55.5
technical_trader,3,embedding,0.22701602630633472,0.18538249887552738,14.5,55.5
technical_trader,3,rrf,0.8229982444934141,0.9170216283921907,41.0,55.5
technical_trader,3,cross_encoder,0.8323509667557103,0.7310483789719022,40.0,55.5
technical_trader,4,gap,0.9172579162905183,1.0,49.5,58.0
technical_trader,4,popularity,0.8436166241895164,0.7749953645373464,44.0,58.0
technical_trader,4,tfidf,0.1602449971706784,0.11193885812216266,10.0,58.0
technical_trader,4,embedding,0.185698296923739,0.16468454520769943,12.0,58.0
technical_trader,4,rrf,0.8043484338320284,0.9291048433230225,45.0,58.0
technical_trader,4,cross_encoder,0.7540109325131849,0.837259180555776,37.5,58.0
macro_thinker,0,gap,0.8928005426634719,1.0,43.5,52.0
macro_thinker,0,popularity,0.8311913564049196,0.8184157742040437,41.5,52.0
macro_thinker,0,tfidf,0.36059597801811405,0.3203108934151654,23.5,52.0
macro_thinker,0,embedding,0.4273898477979517,0.4194433981624866,23.5,52.0
macro_thinker,0,rrf,0.892928676430621,0.9171476366599403,44.5,52.0
macro_thinker,0,cross_encoder,0.8671357234308177,0.855005860630225,43.0,52.0
macro_thinker,1,gap,0.8111916399015422,1.0,32.5,47.5
macro_thinker,1,popularity,0.7414539362806924,0.7257800175586931,35.5,47.5
macro_thinker,1,tfidf,0.24171608076115672,0.2355507847741189,15.0,47.5
macro_thinker,1,embedding,0.2850054901116854,0.23352523278664056,15.5,47.5
macro_thinker,1,rrf,0.7591019255708725,0.8939153521159681,36.5,47.5
macro_thinker,1,cross_encoder,0.703764262456871,0.7132588304360308,38.5,47.5
macro_thinker,2,gap,0.7976316134576154,1.0,37.0,55.5
macro_thinker,2,popularity,0.7369774589491971,0.7329449374149604,42.0,55.5
macro_thinker,2,tfidf,0.16984939182644354,0.1398560420094645,12.5,55.5
macro_thinker,2,embedding,0.43706367699930615,0.38535155527695636,23.0,55.5
macro_thinker,2,rrf,0.744006275120654,0.8524344284894851,40.5,55.5
macro_thinker,2,cross_encoder,0.7738196062694649,0.8307876227184194,43.5,55.5
macro_thinker,3,gap,0.8680022403339148,1.0,47.0,61.5
macro_thinker,3,popularity,0.780407041551935,0.7703364335919364,45.5,61.5
macro_thinker,3,tfidf,0.4119325296555803,0.33358398603728556,27.0,61.5
macro_thinker,3,embedding,0.48989629920520433,0.4835314386529373,25.0,61.5
macro_thinker,3,rrf,0.8330933027424112,0.9028630238873769,49.5,61.5
macro_thinker,3,cross_encoder,0.7309421607869848,0.7043490750660241,47.0,61.5
macro_thinker,4,gap,0.8482007548405062,1.0,41.5,54.0
macro_thinker,4,popularity,0.7577251134041696,0.7664378673334207,39.5,54.0
macro_thinker,4,tfidf,0.33440705283389593,0.3456509733206871,21.5,54.0
macro_thinker,4,embedding,0.49700263958642815,0.5180633166455204,22.0,54.0
macro_thinker,4,rrf,0.8031969649572688,0.8702420414725618,42.0,54.0
macro_thinker,4,cross_encoder,0.7420846455510347,0.7800098266029322,41.0,54.0
behavioral_trader,0,gap,0.9207489416328306,1.0,33.5,38.0
behavioral_trader,0,popularity,0.7761776871135926,0.7927290687727905,31.0,38.0
behavioral_trader,0,tfidf,0.44718375978323527,0.42758744192887865,16.0,38.0
behavioral_trader,0,embedding,0.34987056753594825,0.35686709171458625,11.5,38.0
behavioral_trader,0,rrf,0.8572295928149082,0.9308332550152776,32.0,38.0
behavioral_trader,0,cross_encoder,0.7280771296493173,0.8462656135291565,26.0,38.0
behavioral_trader,1,gap,0.8708820597822752,1.0,32.5,41.0
behavioral_trader,1,popularity,0.868208536179714,0.8873707612216839,32.5,41.0
behavioral_trader,1,tfidf,0.34431777357439175,0.28232403218259156,12.5,41.0
behavioral_trader,1,embedding,0.14701725794701823,0.13241966302926592,8.5,41.0
behavioral_trader,1,rrf,0.8766860540228348,0.9401008229667469,33.5,41.0
behavioral_trader,1,cross_encoder,0.8443554437353373,0.829707711848733,32.0,41.0
behavioral_trader,2,gap,0.8999420585561398,1.0,50.0,61.5
behavioral_trader,2,popularity,0.8712673590474668,0.8970763174234484,49.5,61.5
behavioral_trader,2,tfidf,0.10131866901609127,0.08292395408586828,10.0,61.5
behavioral_trader,2,embedding,0.1612102055513197,0.1378325976464806,15.5,61.5
behavioral_trader,2,rrf,0.8588777146149602,0.9335419762414775,52.5,61.5
behavioral_trader,2,cross_encoder,0.8357155347507393,0.8153858688978971,48.5,61.5
behavioral_trader,3,gap,0.8866931771809972,1.0,44.0,55.5
behavioral_trader,3,popularity,0.7879666747977613,0.7299289206227411,47.0,55.5
behavioral_trader,3,tfidf,0.22480211963139754,0.17588225084903605,14.0,55.5
behavioral_trader,3,embedding,0.1595879765951571,0.1554481651117786,10.0,55.5
behavioral_trader,3,rrf,0.8641775022579359,0.9576951369365703,44.5,55.5
behavioral_trader,3,cross_encoder,0.7265883942951892,0.7322049893087069,45.0,55.5
behavioral_trader,4,gap,0.933724294861633,1.0,50.7,58.2
behavioral_trader,4,popularity,0.8600085402602115,0.8926835464225176,49.7,58.2
behavioral_trader,4,tfidf,0.13226115640313846,0.12138602945837985,10.0,58.2
behavioral_trader,4,embedding,0.19108300115180188,0.15215729382605894,16.0,58.2
behavioral_trader,4,rrf,0.8697481103888187,0.936130085381468,50.7,58.2
behavioral_trader,4,cross_encoder,0.9028098300512332,0.9263360756448208,49.2,58.2
