corpus_row,csv_line,google_volume_id,source_query,source_queries,source_start_index,source_result_index,global_rank,fetched_at,dedup_key,dedup_strategy,duplicate_count,title,subtitle,author,isbn_13,isbn_10,canonical_isbn_13,description,page_count,publication_year,published_date_raw,publisher,categories,language,cover_url,source,avg_rating,ratings_count,priority_tier,tier_rank
8,9,teitAAAAQBAJ,technical analysis trading markets,financial markets trading investing|technical analysis trading markets,0,0,0,2026-05-14T12:38:01+00:00,9781101659199,isbn_13_explicit,2,Technical Analysis of the Financial Markets,A Comprehensive Guide to Trading Methods and Applications,John J. Murphy,9781101659199,110165919X,9781101659199,"John J. Murphy has now updated his landmark bestseller Technical Analysis of the Futures Markets, to include all of the financial markets. This outstanding reference has already taught thousands of traders the concepts of technical analysis and their application in the futures and stock markets. Covering the latest developments in computer technology, technical tools, and indicators, the second edition features new material on candlestick charting, intermarket relationships, stocks and stock rotation, plus state-of-the-art examples and figures. From how to read charts to understanding indicators and the crucial role technical analysis plays in investing, readers gain a thorough and accessible overview of the field of technical analysis, with a special emphasis on futures markets. Revised and expanded for the demands of today's financial world, this book is essential reading for anyone interested in tracking and analyzing market behavior.",579,1999,1999-01-01,Penguin,Business & Economics,en,https://books.google.com/books/content?id=teitAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books,5,2,0,1
420,421,Rk13rgEACAAJ,"intitle:""The Intelligent Investor"" inauthor:""graham""","intitle:""The Intelligent Investor"" inauthor:""graham""",0,4,4,2026-05-16T05:31:51+00:00,9780062312686,audit_lookup_isbn,1,The Intelligent Investor,The Definitive Book on Value Investing,Benjamin Graham,9780062312686,0062312685,9780062312686,,,2013,2013,,Investments,en,https://books.google.com/books/content?id=Rk13rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,audit_must_include,5,1,0,2
421,422,TnrrDwAAQBAJ,"intitle:""The Psychology of Money"" inauthor:""housel""","intitle:""The Psychology of Money"" inauthor:""housel""",0,0,0,2026-05-16T05:31:53+00:00,9780857197696,audit_lookup_isbn,1,The Psychology of Money,"Timeless lessons on wealth, greed, and happiness",Morgan Housel,9780857197696,085719769X,9780857197696,"The Sunday Times Number One Bestseller. Over 10 million copies sold around the world. The original book from Morgan Housel, the New York Times and Sunday Times bestselling author of Same As Ever and The Art of Spending Money. As featured on the Dr Chatterjee podcast Feel Better, Live More and the Diary of a CEO podcast with Steven Bartlett. Doing well with money isn't necessarily about what you know. It's about how you behave. And behavior is hard to teach, even to really smart people. Money – investing, personal finance, and business decisions – is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don't make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life's most important topics.",209,2020,2020-09-08,Harriman House Limited,Business & Economics,en,https://books.google.com/books/content?id=TnrrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,audit_must_include,,,0,3
422,423,8SL6VVMa9AcC,"intitle:""Trading in the Zone"" inauthor:""douglas""","intitle:""Trading in the Zone"" inauthor:""douglas""",0,0,0,2026-05-16T05:31:55+00:00,9781440625411,audit_lookup_isbn,1,Trading in the Zone,"Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,9781440625411,1440625417,9781440625411,"Douglas uncovers the underlying reasons for lack of consistency and helps traders overcome the ingrained mental habits that cost them money. He takes on the myths of the market and exposes them one by one teaching traders to look beyond random outcomes, to understand the true realities of risk, and to be comfortable with the ""probabilities"" of market movement that governs all market speculation.",242,2001,2001-01-01,Penguin,Business & Economics,en,https://books.google.com/books/content?id=8SL6VVMa9AcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,audit_must_include,,,0,4
423,424,Z9GNzwEACAAJ,"intitle:""Big Debt Crises"" inauthor:""dalio""","intitle:""Big Debt Crises"" inauthor:""dalio""",0,2,2,2026-05-16T05:31:57+00:00,9780578565651,audit_lookup_isbn,1,Big Debt Crises,,Ray Dalio,9780578565651,057856565X,9780578565651,"""Ray Dalio's excellent study provides an innovative way of thinking about debt crises and the policy response."" - Ben Bernanke ​""Ray Dalio's book is must reading for anyone who aspires to prevent or manage through the next financial crisis."" - Larry Summers ""A terrific piece of work from one of the world's top investors who has devoted his life to understanding markets and demonstrated that understanding by navigating the 2008 financial crisis well."" - Hank Paulson ""An outstanding history of financial crises, including the devastating crisis of 2008, with a very valuable framework for understanding why the engine of the financial system occasionally breaks down, and what types of policy actions by central banks and governments are necessary to resolve systemic financial crises. This should serve as a play book for future policy makers, with practical guidance about what to do and what not to do."" - Tim Geithner ""Dalio's approach, as in his investment management, is to synthesize information, and to convert a sprawling and multi-faceted issue into a clear-cut process of cause and effect. Critically, he simplifies without over-simplifying."" - Financial Times For the 10th anniversary of the 2008 financial crisis, one of the world's most successful investors, Ray Dalio, shares his unique template for how debt crises work and principles for dealing with them well. This template allowed his firm, Bridgewater Associates, to anticipate events and navigate them well while others struggled badly. As he explained in his #1 New York Times Bestseller, Principles: Life & Work, Dalio believes that most everything happens over and over again through time so that by studying their patterns one can understand the cause-effect relationships behind them and develop principles for dealing with them well. In this 3-part research series, he does that for big debt crises and shares his template in the hopes reducing the chances of big debt crises happening and helping them be better managed in the future. The template comes in three parts:: 1) The Archetypal Big Debt Cycle (which explains the template), 2) 3 Detailed Cases (which examines in depth the 2008 financial crisis, the 1930's Great Depression, and the 1920's inflationary depression of Germany's Weimar Republic), and 3) Compendium of 48 Cases (which is a compendium of charts and brief descriptions of the worst debt crises of the last 100 years). Whether you're an investor, a policy maker, or are simply interested, the unconventional perspective of one of the few people who navigated the crises successfully, Principles for Navigating Big Debt Crises will help you understand the economy and markets in revealing new ways.",,2020,2020-08-04,,,en,,audit_must_include,,,0,5
424,425,t-TQCwAAQBAJ,"intitle:""Trading and Exchanges"" inauthor:""harris""","intitle:""Trading and Exchanges"" inauthor:""harris""",0,0,0,2026-05-16T05:32:00+00:00,9780199726547,audit_lookup_isbn,1,Trading and Exchanges,Market Microstructure for Practitioners,Larry Harris,9780199726547,019972654X,9780199726547,"This book is about trading, the people who trade securities and contracts, the marketplaces where they trade, and the rules that govern it. Readers will learn about investors, brokers, dealers, arbitrageurs, retail traders, day traders, rogue traders, and gamblers; exchanges, boards of trade, dealer networks, ECNs (electronic communications networks), crossing markets, and pink sheets. Also covered in this text are single price auctions, open outcry auctions, and brokered markets limit orders, market orders, and stop orders. Finally, the author covers the areas of program trades, block trades, and short trades, price priority, time precedence, public order precedence, and display precedence, insider trading, scalping, and bluffing, and investing, speculating, and gambling.",656,2002,2002-10-24,Oxford University Press,Business & Economics,en,https://books.google.com/books/content?id=t-TQCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,audit_must_include,,,0,6
425,426,5NAZE-RBJoEC,"intitle:""Trade Your Way to Financial Freedom"" inauthor:""tharp""","intitle:""Trade Your Way to Financial Freedom"" inauthor:""tharp""",0,0,0,2026-05-16T05:32:03+00:00,9780070647626,audit_lookup_isbn,1,Trade Your Way to Financial Freedom,,Van K. Tharp,9780070647626,0070647623,9780070647626,"The famed psychologist--featured in the bestselling ""Market Wizards""--reveals his secrets to successful trading. Tharp clearly outlines a program for both individual investors and professionals to construct their own truly personal trading system. 50 illustrations.",374,1999,1999,McGraw Hill Professional,Business & Economics,en,https://books.google.com/books/content?id=5NAZE-RBJoEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,audit_must_include,,,0,7
426,427,mna7CdjGdcYC,"intitle:""Come Into My Trading Room"" inauthor:""elder""","intitle:""Come Into My Trading Room"" inauthor:""elder""",0,0,0,2026-05-16T05:32:05+00:00,9780471273820,audit_lookup_isbn,1,Come Into My Trading Room,A Complete Guide to Trading,Alexander Elder,9780471273820,0471273821,9780471273820,"The trading bible for the new millennium In Come Into My Trading Room, noted trader and author Dr. Alexander Elder returns to expand far beyond the three M's (Mind, Method, and Money) of his bestselling Trading for a Living. Shifting focus from technical analysis to the overall management of a trader's money, time, and strategy, Dr. Elder takes readers from the fundamentals to the secrets of being a successful trader--identifying new, little known indicators that can lead to huge profits. Come Into My Trading Room educates the novice and fortifies the professional through expert advice and proven trading methodologies. This comprehensive trading guide provides a complete introduction to the essentials of successful trading; a fresh look at the three M's, including a proven, step-by-step money management strategy; and an in-depth look at organizing your trading time. Come Into My Trading Room reviews the basics of trading stocks, futures, and options as well as crucial psychological tactics for discipline and organization—with the goal of turning anyone into a complete and successful trader. By showing traders how to combine the elements of mind, method, and money, Come Into My Trading Room gives readers the knowledge and insight to enter the market with confidence and exit with profits. Unparalleled depth and a wide range of coverage will keep all levels of traders engaged, informed, and returning to Come Into My Trading Room again and again. Dr. Alexander Elder (New York, NY) is a professional trader, technical analysis expert, and practicing psychiatrist. He is the founder of Financial Trading Inc., providing intensive trading camps to traders all over the world. Elder's first book Trading for a Living (Wiley: 0471592242) and the companion study guide have sold over 160,000 copies.",322,2002,2002-10-10,John Wiley & Sons,Business & Economics,en,https://books.google.com/books/content?id=mna7CdjGdcYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,audit_must_include,4.5,11,0,8
427,428,237PaZVtDjMC,"intitle:""The New Sell and Sell Short"" inauthor:""elder""","intitle:""The New Sell and Sell Short"" inauthor:""elder""",0,0,0,2026-05-16T05:32:07+00:00,9781118005576,audit_lookup_isbn,1,The New Sell and Sell Short,"How To Take Profits, Cut Losses, and Benefit From Price Declines",Alexander Elder,9781118005576,1118005570,9781118005576,"A detailed look at one of the most underestimated aspects of trading-selling In The New Sell and Sell Short, Second Edition, Dr. Alexander Elder explains how to exit a stock at the right time and how to initiate a short position to profit from a stock that is showing weakness. Often overlooked, selling properly enables a trader to cut losses and maximize profits. Moreover, short selling in a weak market can generate big profits and should be a part of every trader's arsenal of tools. The new edition contains numerous examples of short selling stocks from the 2008-2009 bear market, demonstrating very clearly why traders do themselves a disservice by only focusing on the long side. In addition, the new edition contains an extensive study guide to help readers master the material prior to trading. Elder shares real-world examples that show how to manage your positions by adjusting your exit points as a trade unfolds. Contains new examples and insights from the 2008-2009 market meltdown Includes an extensive study guide with 115 questions and answers and 17 chart studies Discusses the selling process from a variety of angles: technical, fundamental, and psychological Explains how to maximize winnings in a profitable trade and how to minimize losses when a trade doesn't go as planned Offers detailed guidance for traders of stocks, financial futures, commodities, and currencies Explains how to set profit targets and stop-loss orders prior to entering any trade Other bestselling titles by Elder: Trading for a Living, Come Into My Trading Room, and Entries and Exits Understanding where and when to sell is essential to successful trading. The New Sell and Sell Short, Second Edition is the definitive reference to this overlooked, but vitally important, aspect of trading.",375,2011,2011-02-16,John Wiley & Sons,Business & Economics,en,https://books.google.com/books/content?id=237PaZVtDjMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,audit_must_include,,,0,9
428,429,rSkyvwEACAAJ,"intitle:""Entries & Exits"" inauthor:""elder""","intitle:""Entries & Exits"" inauthor:""elder""",0,1,1,2026-05-16T05:32:09+00:00,rSkyvwEACAAJ,audit_lookup_volume_id,1,Entries & Exits,Visits to Sixteen Trading Rooms,Alexander Elder,,,,,,2006,2006,,,en,,audit_must_include,,,0,10
429,430,jbD47VkOHAEC,"intitle:""Evidence-Based Technical Analysis"" inauthor:""aronson""","intitle:""Evidence-Based Technical Analysis"" inauthor:""aronson""",0,0,0,2026-05-16T05:32:11+00:00,9781118160589,audit_lookup_isbn,1,Evidence-Based Technical Analysis,Applying the Scientific Method and Statistical Inference to Trading Signals,David Aronson,9781118160589,1118160584,9781118160589,"Evidence-Based Technical Analysis examines how you can apply the scientific method, and recently developed statistical tests, to determine the true effectiveness of technical trading signals. Throughout the book, expert David Aronson provides you with comprehensive coverage of this new methodology, which is specifically designed for evaluating the performance of rules/signals that are discovered by data mining.",573,2011,2011-07-11,John Wiley & Sons,Business & Economics,en,https://books.google.com/books/content?id=jbD47VkOHAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,audit_must_include,,,0,11
38,39,OmaeIdd95EQC,technical analysis trading markets,technical analysis trading markets,0,1,1,2026-05-14T12:38:01+00:00,9781118238141,isbn_13_explicit,1,The Art and Science of Technical Analysis,"Market Structure, Price Action, and Trading Strategies",Adam Grimes,9781118238141,1118238141,9781118238141,"A breakthrough trading book that provides powerful insights on profitable technical patterns and strategies The Art and Science of Technical Analysis is a groundbreaking work that bridges the gaps between the academic view of markets, technical analysis, and profitable trading. The book explores why randomness prevails in markets most, but not all, of the time and how technical analysis can be used to capture statistically validated patterns in certain types of market conditions. The belief of the book is that buying and selling pressure causes patterns in prices, but that these technical patterns are only effective in the presence of true buying/selling imbalance. The Art and Science of Technical Analysis is supported by extensive statistical analysis of the markets, which will debunk some tools and patterns such as Fibonacci analysis, and endorse other tools and trade setups. In addition, this reliable resource discusses trader psychology and trader learning curves based on the author's extensive experience as a trader and trainer of traders. Offers serious traders a way to think about market problems, understand their own performance, and help find a more productive path forward Includes extensive research to validate specific money-making patterns and strategies Written by an experienced market practitioner who has trained and worked with many top traders Filled with in-depth insights and practical advice, The Art and Science of Technical Analysis will give you a realistic sense of how markets behave, when and how technical analysis works, and what it really takes to trade successfully.",487,2012,2012-05-31,John Wiley & Sons,Business & Economics,en,https://books.google.com/books/content?id=OmaeIdd95EQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books,,,0,12
430,431,pSUJAQAAMAAJ,"intitle:""Market Wizards"" inauthor:""schwager""","intitle:""Market Wizards"" inauthor:""schwager""",0,1,1,2026-05-16T05:32:13+00:00,pSUJAQAAMAAJ,audit_lookup_volume_id,1,Market Wizards,Interviews with Top Traders,Jack D. Schwager,,,,This is one of the best-selling investment titles of all time. A collection of interviews with top traders gives insights into their stories of extraordinary investment success. Learn how these pros converted financial set-backs into greater-than-ever riches.,488,1990,1990,HarperPerennial,Business & Economics,en,https://books.google.com/books/content?id=pSUJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,audit_must_include,,,0,13
