corpus_row,google_volume_id,title,author,publisher,publication_year,source,reason,red_flags
7,QU2pLmie9SEC,An Introduction to Trading in the Financial Markets: Market Basics,R. Tee Williams,Academic Press,2010,google_books,"Published by Academic Press (Elsevier) with a credentialed author of 30 years' market experience, this is a legitimate professional reference on financial markets — not a summary or workbook. However, the Goodreads rating of 3.22 from only 9 reviews provides very weak evidence of quality, and the complete absence of Amazon reviews suggests minimal market traction. The topic is highly relevant to Atlas, but the near-absence of engagement data makes a confident quality call impossible without human review.",very low review count (9 ratings); below-threshold rating (3.22); no Amazon reviews for this specific volume
20,5xdYDb1wD9YC,Fundamentals of Investments,Richard A. Stevenson,,1988,google_books,"This is a legitimate multi-edition college-level investments textbook from 1988, published by West Publishing Co., covering foundational investing concepts relevant to Atlas's scope. However, it is over 35 years old, has no discoverable ratings or reviews, no modern readership, and no evidence of canonical or must-read status in investing literature. Without stronger evidence of enduring relevance or citation on reputable reading lists, a human review is warranted before inclusion.",1988 publication date — severely dated; No ratings or reviews found anywhere; Virtually no modern web presence; Out-of-print academic textbook with no noted canonical status
21,u9xmEp_FB58C,What Is Value Investing?,Lawrence A. Cunningham,McGraw Hill Professional,2004,google_books,"Cunningham is a credible, well-regarded author in value investing (known for 'The Essays of Warren Buffett'), and the publisher McGraw-Hill is reputable, so this is not a low-quality or scam product. However, the specific book has zero Goodreads reviews and no Amazon rating, making it impossible to assess reception on its own merits; reviews hint at thin content. As an introductory primer it may be redundant alongside stronger value investing titles in Atlas, warranting a human review decision.",no retrievable rating or reviews for this specific title; described as introductory/beginner primer with limited depth per one review; very thin content per negative Amazon review
22,_Exwgz9_6oEC,Investor's Library,"Marvin Appel, Harry Domash, Michael N. Kahn CMT",Pearson Education,2011,google_books,"This is a legitimate Pearson/FT Press omnibus bundling three credible titles by credentialed authors (Domash, Kahn CMT, Appel), all relevant to stock analysis, technical analysis, and income investing. However, as a compiled bundle it has zero ratings or reviews across all major platforms and no reading-list presence, making quality assessment impossible. The individual component books may merit separate evaluation, but this bundle format warrants human review before inclusion.",bundle/omnibus format with no standalone review presence; no ratings or reviews found anywhere; not on any notable reading lists
27,rPkmNfPEuIYC,Fundamental Analysis,John C. Ritchie,Irwin Professional Publishing,1996,google_books,"The book is a legitimate multi-edition fundamental analysis textbook from a credible academic (Temple University Finance professor) published by a reputable professional imprint (Irwin), making it relevant to Atlas's scope. However, the Goodreads rating of 3.0 from only 6 ratings is below the acceptable threshold, and the book has virtually no modern footprint on reading lists or review platforms. The author's academic credibility and professional publisher prevent a DROP_D, but insufficient evidence exists to confidently keep it without human review.",very low rating count (6 ratings); rating of 3.0 is below threshold; near-zero modern visibility
33,9-1X9wA_bhEC,Teenvestor,"Emmanuel Modu, Andrea Walker",Perigee Trade,2002,google_books,"The book is a legitimate, original investing guide by credentialed authors (Wharton MBA, Princeton engineering) with reputable publisher (Perigee/Penguin Putnam) and documented media coverage in Forbes, WSJ, CNBC, and CNN Money. However, no numeric ratings are available from any source, and the teen/beginner focus limits relevance for Atlas's core investing audience. The 2002 publication date also raises concerns about outdated content. A human review is warranted to determine if its educational value and author credibility justify inclusion.",targeted at teens/beginners; no retrievable ratings; 2002 publication may be outdated
50,XLRFDwAAQBAJ,Trader's Guide to Financial Markets and Technical Analysis,Jitender Yadav,Vision Books,2018,google_books,"This is a legitimate technical analysis and financial markets title from a credible Indian publisher (Vision Books, est. 1975) by an author with verifiable practitioner and academic credentials since 1993. However, there are no retrievable ratings or review counts, and recognition is limited to a single community mention on an India-focused trading forum, with no presence on major English-language investing reading lists. The content is highly relevant to Atlas's scope, but the lack of quality signals and narrow community footprint makes this a human-review candidate rather than a clear keep or drop.",no retrievable ratings or review counts; limited recognition outside Indian trading community; single reading-list mention on a niche forum
54,Cm7H4m7bqmcC,The Trading Methodologies of W.D. Gann,Hima Reddy,FT Press,2012,google_books,"The book's Goodreads rating of 3.29 across only 17 ratings is below the threshold for confident retention, and the sole written review is dismissive. However, the author holds credible CMT credentials, FT Press (Pearson) is a reputable publisher, and the book is an original practitioner-authored guide rather than a summary or workbook. The thin evidence base and weak rating make a human review necessary before keeping or dropping.",very low Goodreads rating (3.29); extremely thin review base (17 ratings); one review calls it 'another failed attempt to decode Gann'
61,2lNpJqsuuqQC,The Market Guys' Five Points for Trading Success,"A. J. Monte, Rick Swope",John Wiley & Sons,2011,google_books,"The book's best reliable rating is 3.49 from only 39 Goodreads reviews, falling below the 3.50 threshold with weak review-count confidence. It is a legitimate Wiley-published trading guide by credentialed authors (CMT, E*TRADE/CBOE affiliation), covering technical analysis and risk management, but community reception is tepid and engagement is low. The content is relevant to trading but not canonical or widely cited, warranting a human review rather than automatic retention or drop.",rating below 3.50 on goodreads; very low review count (39); semi-promotional title structure ('Five Points for Trading Success'); E*TRADE partnership raises mild commercial/educational seminar concern
62,yXXCBwAAQBAJ,Trend Trading For Dummies,Barry Burns,John Wiley & Sons,2014,google_books,"The 'For Dummies' branding triggers the beginner/introductory red flag under policy, though it is a legitimate Wiley publication by a credible practitioner. Amazon rating is strong (4.5/276) but Goodreads is weak (3.7/54), and reviewer commentary suggests limited depth. The split reception and introductory nature make this a borderline case warranting human review rather than a clear keep or drop.",'For Dummies' beginner-oriented branding; Goodreads rating only 3.7/54 suggesting mixed reception among serious readers; described as 'superficial' by at least one reviewer
